award_title,years,finalist,winner,groups
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or a Special",2017 Awards,American Horror Story,Winner,"Eryn Krueger Mekash, (makeup designer),, ,Michael Mekash, (special makeup effects assistant department head),, ,David LeRoy Anderson, (prosthetic designer),, ,James MacKinnon, (special makeup effects artist),, ,Jason Hamer, (special makeup effects artist),, ,Melanie Eichner, (special makeup effects artist),, ,Cristina Himiob, (special makeup effects artist),, ,Maiko Chiba, (special makeup effects artist)"
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or a Special",2017 Awards,Penny Dreadful,,"Nick Dudman, (prosthetic make-up designer),, ,Sarita Allison, (key prosthetic make-up artist),, ,Barney Nikolic, (prosthetic make-up artist),, ,Dennis Penkov, (prosthetic designer)"
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or a Special",2017 Awards,Saturday Night Live,,"Louie Zakarian, (department head makeup artist),, ,Jason Milani, (key makeup artist),, ,Tom Denier Jr., (key makeup artist),, ,Amy Tagliamonti, (key makeup artist),, ,Craig Lindberg, (makeup artist),, ,Stephen Kelley, (makeup artist)"
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or a Special",2017 Awards,The Walking Dead,,"Greg Nicotero, (special makeup effects department head),, ,Jake Garber, (key makeup artist),, ,Garrett Immel, (key makeup artist),, ,Kevin Wasner, (key makeup artist),, ,Gino Crognale, (special makeup effects artist),, ,Kerrin Jackson, (special makeup effects artist)"
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or a Special",2017 Awards,Westworld,,"Christien Tinsley, (department head makeup artist),, ,Hiro Yada, (key prosthetic makeup artist),, ,Georgia Allen, (makeup artist),, ,Gerald Quist, (special makeup effects artist),, ,Myriam Arougheti, (special makeup effects artist),, ,Jason Hamer, (makeup effects artist)"
Outstanding Short Form Comedy or Drama Series,2017 Awards,Better Call Saul: Los Pollos Hermanos Employee Training,Winner,"Dan Appel, (executive producer),, ,Vince Gilligan, (executive producer),, ,Peter Gould, (executive producer),, ,Ariel Levine, (executive producer),, ,Melissa Bernstein, (executive producer),, ,Rob Knox, (producer)"
Outstanding Short Form Comedy or Drama Series,2017 Awards,Agents of S.H.I.E.L.D.: Slingshot,,"Geoffrey Colo, (exective producer),, ,Jed Whedon, (exective producer),, ,Maurissa Tancharoen, (exective producer),, ,Jeffrey Bell, (exective producer),, ,Jeph Loeb, (exective producer),, ,Joe Quesada, (exective producer)"
Outstanding Short Form Comedy or Drama Series,2017 Awards,Brown Girls,,"Samantha Bailey, (producer) (as Sam Bailey),, ,Fatimah Asghar, (producer)"
Outstanding Short Form Comedy or Drama Series,2017 Awards,Fear the Walking Dead: Passage,,"Dave Erickson, (exective producer),, ,Frank Scherma, (exective producer),, ,Justin Wilkes, (exective producer),, ,Andrew Bernstein, (producer),, ,Marc Porterfield, (producer)"
Outstanding Short Form Comedy or Drama Series,2017 Awards,Hack Into Broad City,,"Abbi Jacobson, (exective producer),, ,Ilana Glazer, (exective producer),, ,Tony Hernandez, (exective producer),, ,Lilly Burns, (exective producer),, ,Kelsie Kiley, (producer)"
Outstanding Short Form Nonfiction or Reality Series,2017 Awards,Viceland at the Women's March,Winner,"Meghan Kirsch, (executive producer),, ,Hannah Gregg, (supervising producer),, ,Nacho Gil, (Co-Executive Producer),, ,Michele Beno, (producer)"
Outstanding Short Form Nonfiction or Reality Series,2017 Awards,Creating Saturday Night Live,,"Lorne Michaels, (executive producer),, ,Osmany Rodriguez, (co-executive producer),, ,Christopher Voss, (co-executive producer),, ,Michael Scogin, (supervising producer),, ,Erik Kenward, (producer),, ,Erin Doyle, (producer)"
Outstanding Short Form Nonfiction or Reality Series,2017 Awards,Inside Look: Feud - Bette and Joan,,"Ryan Murphy,, ,Tanase Popa,, ,Stephanie Gibbons,, ,Kenna McCabe,, ,Sally Daws,, ,Maureen Timpa"
Outstanding Short Form Nonfiction or Reality Series,2017 Awards,Jay Leno's Garage,,"Jay Leno,, ,Kico Velarde,, ,Helga Pollock,, ,Trideev Dasgupta,, ,David Swift,, ,Walker Dalton"
Outstanding Short Form Nonfiction or Reality Series,2017 Awards,National Endowment for the Arts: United States of Arts,,"Kimberly A. Austin,, ,Rachel Klein,, ,Bradley Glenn,, ,Jeffrey Elmont"
Outstanding Short Form Variety Series,2017 Awards,The Daily Show,Winner,"Trevor Noah, (executive producer/host),, ,Jennifer Flanz, (executive producer),, ,Steve Bodow, (executive producer),, ,Ramin Hedayati, (supervising producer),, ,Jocelyn Conn, (producer)"
Outstanding Short Form Variety Series,2017 Awards,Epic Rap Battles of History,,"Nice Peter, (executive producer),, ,Epic Lloyd, (executive producer)"
Outstanding Short Form Variety Series,2017 Awards,Honest Trailers,,"Andy Signore, (executive producer),, ,Dan Murrell, (executive producer),, ,Spencer Gilbert, (producer),, ,Michael Bolton, (producer),, ,Christina Kline, (producer)"
Outstanding Short Form Variety Series,2017 Awards,The Star Wars Show,,"Mickey Capoferri, (executive producer),, ,Scott Bromley, (producer),, ,John Harper, (producer),, ,Andi Gutierrez, (host)"
Outstanding Short Form Variety Series,2017 Awards,The Voice,,"Chad Hines, (executive producer),, ,Amanda Horning, (supervising producer),, ,Suzanne Lee, (producer)"
Outstanding Single-Camera Picture Editing for a Comedy Series,2017 Awards,Master of None,Winner,Jennifer Lilly
Outstanding Single-Camera Picture Editing for a Comedy Series,2017 Awards,Silicon Valley,,Tim Roche
Outstanding Single-Camera Picture Editing for a Comedy Series,2017 Awards,Silicon Valley,,Brian Merken
Outstanding Single-Camera Picture Editing for a Comedy Series,2017 Awards,Veep,,"Roger Nygard,, ,Gennady Fridman"
Outstanding Single-Camera Picture Editing for a Comedy Series,2017 Awards,Veep,,Eric Kissack
Outstanding Single-Camera Picture Editing for a Drama Series,2017 Awards,Stranger Things,Winner,Dean Zimmerman
Outstanding Single-Camera Picture Editing for a Drama Series,2017 Awards,Better Call Saul,,"Kelley Dixon,, ,Skip Macdonald"
Outstanding Single-Camera Picture Editing for a Drama Series,2017 Awards,Better Call Saul,,Skip Macdonald
Outstanding Single-Camera Picture Editing for a Drama Series,2017 Awards,Stranger Things,,Kevin D. Ross
Outstanding Single-Camera Picture Editing for a Drama Series,2017 Awards,Westworld,,Andrew Seklir
Outstanding Single-Camera Picture Editing for a Limited Series or a Movie,2017 Awards,The Night Of,Winner,"Jay Cassidy, (editor),, ,Nick Houy, (additional editing)"
Outstanding Single-Camera Picture Editing for a Limited Series or a Movie,2017 Awards,Big Little Lies,,"Véronique Barbe,, ,David Berman,, ,Justin Lachance,, ,Maxime Lahaie,, ,Sylvain Lebel,, ,Jean-Marc Vallée"
Outstanding Single-Camera Picture Editing for a Limited Series or a Movie,2017 Awards,Fargo,,Curtis Thurber
Outstanding Single-Camera Picture Editing for a Limited Series or a Movie,2017 Awards,Fargo,,Regis Kimble
Outstanding Single-Camera Picture Editing for a Limited Series or a Movie,2017 Awards,Fargo,,Henk Van Eeghen
Outstanding Sound Editing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,The Beatles: Eight Days a Week - The Touring Years,Winner,"Jon Michaels, (co-supervising sound editor),, ,Cameron Frankley, (co-supervising sound editor),, ,Harrison Meyle, (dialogue editor),, ,Dan Kenyon, (sound effects editor),, ,Will Digby, (sound effects editor),, ,Melissa Muik, (music editor)"
Outstanding Sound Editing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,13th,,"Tim Boggs, (sound supervisor),, ,Alex Lee, (sound editor),, ,Julie Pearce, (music editor),, ,Lise Richardson, (music editor)"
Outstanding Sound Editing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,Anthony Bourdain: Parts Unknown,,"Benny Mouthon, (sound editor)"
Outstanding Sound Editing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,Leah Remini: Scientology and the Aftermath,,"David Crocco, (sound supervisor),, ,Rolando Nadal, (sound editor)"
Outstanding Sound Editing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,Planet Earth II,,"Kate Hopkins, (sound editor),, ,Tim Owens, (sound editor)"
"Outstanding Sound Editing for a Limited Series, Movie or Special",2017 Awards,The Night Of,Winner,"Nicholas Renbeck, (sound supervisor),, ,Marissa Littlefield, (supervising ADR editor),, ,Steven Visscher, (supervising foley editor),, ,Ruth Hernandez, (ADR editor),, ,Sara Stern, (dialogue editor),, ,Luciano Vignola, (dialogue editor),, ,Odin Benitez, (dialogue editor),, ,Wyatt Sprague, (sound effects editor),, ,Roland Vajs, (sound effects editor),, ,Ruy García, (sound designer),, ,Warren Shaw, (sound designer),, ,Heather Gross, (foley editor),, ,Dan Evans Farkas, (music editor),, ,Grant Conway, (music editor),, ,Marko A. Costanzo, (foley artist)"
"Outstanding Sound Editing for a Limited Series, Movie or Special",2017 Awards,American Horror Story,,"Gary Megregian, (sound supervisor),, ,Steven Stuhr, (dialogue editor),, ,Jason Krane, (dialogue editor),, ,Timothy A. Cleveland, (sound effects editor),, ,Paul J. Diller, (sound effects editor),, ,David Klotz, (music editor),, ,Noel Vought, (foley artist)"
"Outstanding Sound Editing for a Limited Series, Movie or Special",2017 Awards,Fargo,,"Kurt Nicholas Forshager, (sound supervisor),, ,Joe Bracciale, (ADR editor),, ,Brent Pickett, (dialogue editor),, ,Claire Dobson, (dialogue editor),, ,Rob Bertola, (sound effects editor),, ,Alex Bullick, (sound effects editor),, ,Tyler Whitham, (sound effects editor),, ,Kevin Schultz, (foley editor),, ,Matt Decker, (music editor),, ,John Elliot, (foley artist)"
"Outstanding Sound Editing for a Limited Series, Movie or Special",2017 Awards,Genius,,"Daniel Pagan, (sound supervisor),, ,Erich Gann, (ADR editor),, ,Arielle McGrail, (dialogue editor),, ,Billy B. Bell, (foley editor),, ,Del Spiva, (supervising music editor),, ,Nicholas Fitzgerald, (music editor),, ,Tim Chilton, (foley artist),, ,Jill Schachne, (foley artist)"
"Outstanding Sound Editing for a Limited Series, Movie or Special",2017 Awards,Sherlock,,"Doug Sinclair, (supervising sound editor),, ,Jon Salmon-Joyce, (sound effects editor),, ,Stuart McCowan, (sound effects editor),, ,Paul McFadden, (dialogue editor),, ,Howard Bargroff, (sound editor),, ,Nathan Palmer, (sound editor),, ,Jamie Talbutt, (foley editor),, ,Rael Jones, (music editor),, ,Sue Harding, (foley artist)"
Outstanding Sound Editing for a Series,2017 Awards,Stranger Things,Winner,"Brad North, (sound supervisor),, ,Craig Henighan, (sound editor),, ,Jordan Wilby, (sound editor),, ,Jonathan Golodner, (sound editor),, ,Tiffany S. Griffith, (sound editor),, ,Samuel Munoz, (foley editor),, ,David Klotz, (music editor),, ,Noel Vought, (foley artist),, ,Ginger Geary, (foley artist)"
Outstanding Sound Editing for a Series,2017 Awards,Black Sails,,"Benjamin L. Cook, (sound supervisor),, ,Stefan Henrix, (ADR supervisor),, ,Mike Szakmeister, (dialogue editor),, ,Shaughnessy Hare, (sound effects editor),, ,Tim Tuchrello, (sound effects editor),, ,Brett Voss, (sound effects editor),, ,Michael Baber, (music editor),, ,Jeffrey Wilhoit, (foley artist),, ,Dylan Tuomy-Wilhoit, (foley artist)"
Outstanding Sound Editing for a Series,2017 Awards,Gotham,,"George Haddad, (sound supervisor),, ,Chad J. Hughes, (sound designer),, ,Dale Chaloukian, (sound editor),, ,David Barbee, (sound editor),, ,Julie Altus, (sound editor),, ,Ashley Revell, (music editor),, ,Joseph T. Sabella, (foley artist),, ,Joan Rowe, (foley artist)"
Outstanding Sound Editing for a Series,2017 Awards,Homeland,,"Craig A. Dellinger, (sound supervisor),, ,Ryne Gierke, (dialogue editor),, ,Eric Raber, (sound effects editor),, ,Shawn Kennelly, (foley editor),, ,Jeff Charbonneau, (music editor),, ,Melissa Kennelly, (foley artist),, ,Vince Nicastro, (foley artist)"
Outstanding Sound Editing for a Series,2017 Awards,Westworld,,"Thomas DeGorter, (sound supervisor),, ,Matt Sawelson, (ADR editor),, ,Brian Armstrong, (dialogue editor),, ,Fred Paragano, (dialogue editor),, ,Mark Allen, (sound effects editor),, ,Marc Glassman, (sound effects editor),, ,Sebastian Sheehan Visconti, (sound editor),, ,Geordy Sincavage, (sound editor),, ,Michael S. Head, (sound editor),, ,Christopher Kaller, (music editor),, ,Rick Owens, (foley artist),, ,Tara Blume, (foley artist)"
Outstanding Sound Mixing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,The Beatles: Eight Days a Week - The Touring Years,Winner,"Chris Jenkins, (re-recording mixer),, ,Cameron Frankley, (re-recording mixer),, ,Nathan Evans, (production mixer),, ,Sam Okell, (music mixer)"
Outstanding Sound Mixing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,13th,,"Jeffrey Perkins, (re-recording mixer)"
Outstanding Sound Mixing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,Anthony Bourdain: Parts Unknown,,"Brian Bracken, (re-recording mixer)"
Outstanding Sound Mixing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,O.J.: Made in America,,"Keith Hodne, (re-recording mixer),, ,Eric Di Stefano, (re-recording mixer)"
Outstanding Sound Mixing for Nonfiction Programming (Single or Multi-Camera),2017 Awards,Planet Earth II,,"Graham Wild, (re-recording mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (Half-Hour) and Animation,2017 Awards,Mozart in the Jungle,Winner,"Andy D'Addario, (re-recording mixer),, ,Gary Gegan, (re-recording mixer),, ,Marco Fiumara, (production mixer),, ,Clark Germain, (scoring mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (Half-Hour) and Animation,2017 Awards,Master of None,,"Josh Berger, (re-recording mixer),, ,Michael Barosky, (production mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (Half-Hour) and Animation,2017 Awards,Modern Family,,"Dean Okrand, (re-recording mixer),, ,Brian Harman, (re-recording mixer),, ,Stephen Tibbo, (production mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (Half-Hour) and Animation,2017 Awards,Silicon Valley,,"Elmo Ponsdomenech, (re-recording mixer),, ,Todd Beckett, (re-recording mixer),, ,Benjamin Patrick, (production mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (Half-Hour) and Animation,2017 Awards,Veep,,"John W. Cook II, (re-recording mixer),, ,William Freesh, (re-recording mixer),, ,William F. MacPherson, (production mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (One Hour),2017 Awards,Westworld,Winner,"Keith Rogers, (re-recording mixer),, ,Scott Weber, (re-recording mixer),, ,Roger V. Stevenson, (production mixer),, ,Kyle O'Neal, (ADR mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (One Hour),2017 Awards,Better Call Saul,,"Larry Benjamin, (re-recording mixer),, ,Kevin Valentine, (re-recording mixer),, ,Phillip W. Palmer, (production mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (One Hour),2017 Awards,House of Cards,,"Lorenzo Millan, (sound mixer),, ,Nathan Nance, (re-recording mixer),, ,Scott R. Lewis, (re-recording mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (One Hour),2017 Awards,Mr. Robot,,"John W. Cook II, (re-recording mixer),, ,William Freesh, (re-recording mixer),, ,William Sarokin, (production mixer),, ,Paul Drenning, (ADR mixer)"
Outstanding Sound Mixing for a Comedy or Drama Series (One Hour),2017 Awards,Stranger Things,,"Joe Barnett, (re-recording mixer),, ,Adam Jenkins, (re-recording mixer),, ,Chris Durfy, (production mixer),, ,Bill Higley, (ADR mixer)"
Outstanding Sound Mixing for a Limited Series or Movie,2017 Awards,The Night Of,Winner,"Michael Barry, (re-recording mixer),, ,Nicholas Renbeck, (re-recording mixer),, ,Felix Andrew, (production mixer),, ,Larry Hoff, (production mixer)"
Outstanding Sound Mixing for a Limited Series or Movie,2017 Awards,Big Little Lies,,"Gavin Fernandes, (re-recording mixer),, ,Louis Gignac, (re-recording mixer),, ,Brendan Beebe, (production mixer)"
Outstanding Sound Mixing for a Limited Series or Movie,2017 Awards,Fargo,,"Martin Lee, (re-recording mixer),, ,Kirk Lynds, (re-recording mixer),, ,Michael Playfair, (production mixer),, ,Michael Perfitt, (scoring mixer)"
Outstanding Sound Mixing for a Limited Series or Movie,2017 Awards,Genius,,"Bob Bronow, (re-recording mixer),, ,Mark Hensley, (re-recording mixer),, ,Petr Forejt, (production mixer)"
Outstanding Sound Mixing for a Limited Series or Movie,2017 Awards,Sherlock,,"Howard Bargroff, (re-recording mixer),, ,John Mooney, (production mixer),, ,Peter Gleaves, (ADR mixer),, ,Nick Wollage, (music mixer)"
Outstanding Sound Mixing for a Variety Series or Special,2017 Awards,The 2017 Rock and Roll Hall of Fame Induction Ceremony,Winner,"Al Centrella, (production mixer),, ,Susan Pelino, (re-recording mixer),, ,Jay Vicari, (music mixer),, ,John Harris, (music mixer),, ,David Natale, (FOH mixer),, ,Erik Von Ranson, (FOH mixer),, ,Simon Welch, (monitor mixer)"
Outstanding Sound Mixing for a Variety Series or Special,2017 Awards,The 59th Annual Grammy Awards,Winner,"Josh Morton, (post audio mixer),, ,Tom Holmes, (production mixer),, ,Mikael Stewart, (FOH production mixer),, ,Eric Schilling, (broadcast music mixer),, ,John Harris, (broadcast music mixer),, ,Ron Reaves, (FOH mixer),, ,Tom Pesa, (stage foldback mixer),, ,Mike Parker, (stage foldback mixer),, ,Eric Johnston, (playback music mixer),, ,Pablo Munguia, (Pro Tools mixer),, ,Bob La Masney, (sweetening mixer)"
Outstanding Sound Mixing for a Variety Series or Special,2017 Awards,Last Week Tonight with John Oliver,,"Steve Watson, (production mixer),, ,Charlie Jones, (sound effects mixer),, ,Steve Lettie, (FOH PA mixer),, ,Jonathan Herrera, (monitor mixer)"
Outstanding Sound Mixing for a Variety Series or Special,2017 Awards,Super Bowl LI Halftime Show Starring Lady Gaga,,"Paul Sandweiss, (production mixer),, ,Christian Schrader, (re-recording mixer),, ,Alex Guessard, (FOH mixer),, ,Simon Higgs, (monitor mixer),, ,Tom Pesa, (monitor mixer),, ,Bill Malina, (music mixer),, ,Paul Ramsay, (music mixer),, ,Pablo Munguia, (Pro Tools mixer),, ,Andre Bowman, (Pro Tools mixer)"
Outstanding Sound Mixing for a Variety Series or Special,2017 Awards,The Oscars,,"Kristian Pedregon, (re-recording mixer),, ,Paul Sandweiss, (broadcast production mixer),, ,Thomas Vicari, (music mixer),, ,Pablo Munguia, (ProTools mixer),, ,Patrick Baltzell, (house PA mixer),, ,Mike Parker, (monitor mixer),, ,Bob La Masney, (supplemental audio mixer),, ,John Perez, (VO mixer),, ,Tom Pesa, (orchestra monitor mixer),, ,Brian Flanzbaum, (orchestra monitor mixer)"
Outstanding Sound Mixing for a Variety Series or Special,2017 Awards,The Voice,,"Ryan Young, (re-recording mixer),, ,Brian Riordan, (re-recording mixer),, ,Michael Abbott, (production mixer),, ,Eric White, (re-recording music mixer),, ,Tim Hatayama, (re-recording music mixer),, ,Randy Faustino, (broadcast music mixer),, ,Kenyata Westbrook, (reality supervising audio Mixer),, ,Sterling Cross, (production reality mixer),, ,Robert P. Matthews Jr., (production reality mixer),, ,John Koster, (production reality mixer),, ,Andrew Fletcher, (mouse PA mixer),, ,Christian Schrader, (supplemental audio mixer),, ,Carlos Torres, (iInterstitial playback music mixer),, ,Bill Dietzman, (monitor mixer),, ,Michael Bernard, (music sub mixer)"
Outstanding Special Class Program,2017 Awards,The 70th Annual Tony Awards,Winner,"Ricky Kirshner, (executive producer),, ,Glenn Weiss, (executive producer),, ,Allen Kelman, (supervising producer),, ,James Corden, (producer/host),, ,Ben Winston, (producer)"
Outstanding Special Class Program,2017 Awards,Hairspray Live!,,"Craig Zadan, (executive producer),, ,Neil Meron, (executive producer),, ,Alex Rudzinski, (co-executive producer),, ,Javier Winnik, (supervising producer),, ,Kenny Leon, (producer),, ,Robert Norris Catto, (produced by)"
Outstanding Special Class Program,2017 Awards,Super Bowl LI Halftime Show Starring Lady Gaga,,"Ricky Kirshner, (executive producer),, ,Lady Gaga, (performer)"
Outstanding Special Class Program,2017 Awards,The Oscars,,"Michael De Luca, (produced by),, ,Jennifer Todd, (produced by),, ,Rob Paine, (supervising producer),, ,Jimmy Kimmel, (host)"
Outstanding Special Visual Effects,2017 Awards,Westworld,Winner,"Jay Worth, (vfx supervisor),, ,Elizabeth Castro, (vfx coordinator),, ,Joe Wehmeyer, (on set vfx supervisor),, ,Eric Levin-Hatz, (vfx compositor),, ,Bobo Skipper, (ilp vfx supervisor),, ,Gustav Ahren, (modeling lead),, ,Paul Ghezzo, (cg supervisor: cosa vfx),, ,Mitchell S. Drain, (vfx supervisor: shade vfx),, ,Michael Lantieri, (special effects coordinator)"
Outstanding Special Visual Effects,2017 Awards,American Gods,,"Kevin Tod Haug, (visual effects designer),, ,David Stump, (visual effects supervisor),, ,Jeremy Ball, (visual effects supervisor),, ,Bernice Howes, (visual effects producer),, ,Jessica Smith, (visual effects production manager),, ,Josh Carlton, (visual effects coordinator),, ,Pierre Buffin, (vfx supervisor),, ,James Cooper, (vfx supervisor),, ,Aymeric Perceval, (vfx supervisor)"
Outstanding Special Visual Effects,2017 Awards,Black Sails,,"Erik Henry, (senior visual effects supervisor),, ,Terron Pratt, (visual effects producer),, ,Ashley J. Ward, (visual effects production manager),, ,Kevin Rafferty, (on-set visual effects supervisor),, ,Paul Dimmer, (special effects supervisor),, ,Yafei Wu, (VFX supervisor),, ,Martin Lipmann, (VFX supervisor),, ,Nicklas Andersson, (Animation supervisor),, ,David Wahlberg, (compositing lead)"
Outstanding Special Visual Effects,2017 Awards,The Man in the High Castle,,"Lawson Deming, (VFX supervisor),, ,Cory Jamieson, (VFX producer),, ,Casi Blume, (CG supervisor),, ,Nick Chamberlain, (comp supervisor),, ,David Andrade, (modeling supervisor),, ,Bill Parker, (comp lead),, ,Justin Fox, (layout),, ,Danielle Malambri, (VFX coordinator)"
Outstanding Special Visual Effects,2017 Awards,Vikings,,"Dominic Remane, (visual effects supervisor),, ,Mike Borrett, (visual effects producer),, ,Bill Halliday, (visual effects producer),, ,Paul Wishart, (CG supervisor),, ,Ovidiu Cinazan, (lead compositor),, ,Jim Maxwell, (lead matte painter),, ,Kieran McKay, (lead animator),, ,Isabelle Alles, (lead massive crowd artist),, ,Thomas Grant Morrison, (lead lighter)"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,Gotham,Winner,"Tom Mahoney, (visual effects supervisor),, ,Matthew Wheelon Hunt, (visual effects producer),, ,Alex Gitler, (compositing supervisor),, ,Sina San, (senior matte painter & art director),, ,Michael Capton, (cg supervisor & lead cg artist),, ,Jon Anastasiades, (senior lead compositor),, ,Ryan Bauer, (sequence lead compositor),, ,Mark Anthony J. Nazal, (sequence lead compositor),, ,Randy Little, (on-set supervisor)"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,Genius,,"Eric Durst, (visual effects supervisor),, ,Lenka Likarova, (visual effects producer),, ,Viktor Muller, (senior visual effects producer),, ,Marek Ruth, (visual effects supervisor),, ,Tomas Kalhous, (head of 2d department),, ,Lukas Herrmann, (head of dmp department),, ,Pavel Kolár, (cg supervisor),, ,Petr Hastík, (lead compositor),, ,Vít Komrzý, (2d compositor)"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,Genius,,"Eric Durst, (Visual Effects Supervisor),, ,Lenka Likarova, (Visual Effects Producer),, ,Viktor Muller, (Senior Visual Effects Producer),, ,Marek Ruth, (Visual Effects Supervisor),, ,Tomas Kalhous, (Head of 2D Department),, ,Lukas Herrmann, (Head of DMP Department),, ,Pavel Kolar, (CG Supervisor),, ,Petr Hastík, (Lead Compositor),, ,Vít Komrzý, (2D Compositor)"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,Taboo,,"Finlay Duncan, (2d artist),, ,Colin Gorry, (sfx supervisor),, ,Alexander Kirichenko, (senior 2d artist),, ,Simon Rowe, (senior 2d artist),, ,Nic Birmingham, (head of 3d),, ,Lucy Ainsworth-Taylor, (vfx line producer),, ,Angela Barson, (senior vfx supervisor),, ,Tracy McCreary, (vfx producer),, ,Henry Badgett, (vfx supervisor)"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,The Crown,,"Kim Phelan,, ,Ben Turner,, ,Tom Debenham,, ,Standish Millennas,, ,Oliver Cubbage,, ,Lionel Heath,, ,Charlie Bennett,, ,Carmine Agnone,, ,Stephen J. Smith"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,The Handmaid's Tale,,"Brendan Taylor, (vfx supervisor),, ,Stephen Lebed, (vfx supervisor),, ,Leo Bovell, (cg supervisor),, ,Martin O'Brien, (vfx producer),, ,Winston Lee, (senior vfx compositor),, ,Kelly Knauff, (vfx coordinator),, ,Zachary Dembinski, (cg artist),, ,Mike Suta, (compositor),, ,Cameron Kerr, (compositor)"
Outstanding Special Visual Effects in a Supporting Role,2017 Awards,The Handmaid's Tale,,"Stephen Lebed, (VFX supervisor),, ,Brendan Taylor, (VFX supervisor),, ,Leo Bovell, (CG supervisor),, ,Winston Lee, (senior VFX compositor),, ,Martin O'Brien, (VFX producer),, ,Kelly Knauff, (VFX coordinator),, ,Zachary Dembinski, (CG artist),, ,Mike Suta, (compositor),, ,Cameron Kerr, (compositor)"
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2017 Awards,Shameless,Winner,Eddie Perez
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2017 Awards,Angie Tribeca,,Erik Solky
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2017 Awards,Brooklyn Nine-Nine,,Norman Howell
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2017 Awards,Saturday Night Live,,Brian Smyj
Outstanding Stunt Coordination for a Comedy Series or a Variety Program,2017 Awards,Unbreakable Kimmy Schmidt,,Jill Brown
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2017 Awards,Luke Cage,Winner,James Lew
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2017 Awards,Blindspot,,Christopher Place
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2017 Awards,Gotham,,Norman Douglass
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2017 Awards,MacGyver,,Jeff Wolfe
"Outstanding Stunt Coordination for a Drama Series, Limited Series or Movie",2017 Awards,The Blacklist,,Cort Hessler
"Outstanding Technical Direction, Camerawork, Video Control for a Limited Series, Movie or Special",2017 Awards,Hairspray Live!,Winner,"Charles Ciup, (technical director),, ,Billy Steinberg, (video control),, ,Chris Hill, (video control),, ,Bert Atkinson, (camera),, ,Randy Gomez, (camera),, ,Nathanial Havholm, (camera),, ,Ron Lehman, (camera),, ,Bettina Levesque, (camera),, ,David Levisohn, (camera),, ,Tore Livia, (camera),, ,Mike Malone, (camera),, ,Adam Margolis, (camera),, ,Rob Palmer, (camera),, ,Brian Reason, (camera),, ,Damien Tuffereau, (camera),, ,Andrew Waruszewski, (camera)"
"Outstanding Technical Direction, Camerawork, Video Control for a Limited Series, Movie or Special",2017 Awards,Super Bowl LI Halftime Show Starring Lady Gaga,,"Rod Wardell, (technical director),, ,Eric Becker, (technical director),, ,Guy Jones, (senior video control),, ,Rob Levy, (video control),, ,Stephen Dressman, (video control),, ,Bryan Neher, (video control),, ,Stephen Leotta, (video control),, ,Jimmy Lucas, (video control),, ,Lyn Noland, (camera),, ,Jay Kulick, (camera),, ,Bob DelRusso, (camera),, ,Rob Balton, (camera),, ,Kevin French, (camera),, ,Jofre Rosero, (camera),, ,Tore Livia, (camera),, ,Mark Whitman, (camera),, ,Vinnie Scaffidi, (camera),, ,Ed Horton, (camera),, ,David Levisohn, (camera),, ,Phil Jaques, (camera),, ,Buzz Schwing, (camera),, ,Jeffrey Cuales, (camera),, ,Mike Dranes, (camera),, ,Dan Gibbons, (camera),, ,Dave Elendt, (camera)"
