award_title,years,finalist,winner,groups,url
Outstanding Motion Design,2018 Awards,Broad City,Winner,"Mike Perry, (animation director)",/title/tt2578560/?ref_=m_ev_nom
Outstanding Motion Design,2018 Awards,Wasted! The Story of Food Waste,Winner,"Mike Houston, (design director),, ,Daniel de Graaf, (art director),, ,Naoko Saito, (motion graphics artist),, ,Ryan Frost, (motion graphics artist)",/title/tt6207096/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2018 Awards,Will & Grace,Winner,"Peter D. Beyt, (editor)",/title/tt0157246/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2018 Awards,Mom,,Joe Bella,/title/tt2660806/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2018 Awards,One Day at a Time,,Patricia Barnett,/title/tt5339440/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2018 Awards,Roseanne,,Brian Schnuckel,/title/tt0094540/?ref_=m_ev_nom
Outstanding Multi-Camera Picture Editing for a Comedy Series,2018 Awards,The Big Bang Theory,,Peter Chakos,/title/tt0898266/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2018 Awards,March of the Penguins 2: The Next Step,Winner,"Cyrille Aufort, (music by)",/title/tt5852632/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2018 Awards,Alias Grace,,"Mychael Danna,, ,Jeff Danna",/title/tt1034007/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2018 Awards,Black Mirror,,"Daniel Pemberton, (music by)",/title/tt2085059/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2018 Awards,Electric Dreams,,Harry Gregson-Williams,/title/tt5711280/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2018 Awards,Electric Dreams,,"Cristobal Tapia de Veer, (music by)",/title/tt5711280/?ref_=m_ev_nom
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2018 Awards,Godless,,Carlos Rafael Rivera,/title/tt5516154/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2018 Awards,Game of Thrones,Winner,Ramin Djawadi,/title/tt0944947/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2018 Awards,Jessica Jones,,Sean Callery,/title/tt2357547/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2018 Awards,Once Upon a Time,,"Mark Isham, (music by),, ,Cindy O'Connor, (music by),, ,Michael D. Simon, (music by)",/title/tt1843230/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2018 Awards,SEAL Team,,"W.G. Snuffy Walden,, ,A. Patrick Rose",/title/tt6473344/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2018 Awards,Star Wars Rebels,,Kevin Kiner,/title/tt2930604/?ref_=m_ev_nom
Outstanding Music Composition for a Series (Original Dramatic Score),2018 Awards,Westworld,,Ramin Djawadi,/title/tt0475784/?ref_=m_ev_nom
Outstanding Music Direction,2018 Awards,Tony Bennett: The Library of Congress Gershwin Prize for Popular Song,Winner,"Gregg Field, (Music Director)",/title/tt7862510/?ref_=m_ev_nom
Outstanding Music Direction,2018 Awards,Bruno Mars: 24K Magic Live at the Apollo,,"Bruno Mars, (Music Director)",/title/tt7657120/?ref_=m_ev_nom
Outstanding Music Direction,2018 Awards,Elton John: I'm Still Standing - A Grammy Salute,,"Davey Johnstone, (Music Director)",/title/tt8264268/?ref_=m_ev_nom
Outstanding Music Direction,2018 Awards,Super Bowl LII Halftime Show Starring Justin Timberlake,,"Adam Blackstone, (Music Director)",/title/tt8692230/?ref_=m_ev_nom
Outstanding Music Direction,2018 Awards,The Oscars,,"Harold Wheeler, (Music Director)",/title/tt7235270/?ref_=m_ev_nom
Outstanding Music Supervision,2018 Awards,The Marvelous Mrs. Maisel,Winner,"Robin Urdang, (music supervisor),, ,Amy Sherman-Palladino, (music supervisor),, ,Daniel Palladino, (music supervisor)",/title/tt5788792/?ref_=m_ev_nom
Outstanding Music Supervision,2018 Awards,Atlanta,,"Jen Malone, (Music Supervisor),, ,Fam Udeorji, (Music Supervisor)",/title/tt4288182/?ref_=m_ev_nom
Outstanding Music Supervision,2018 Awards,Stranger Things,,"Nora Felder, (Music Supervisor)",/title/tt4574334/?ref_=m_ev_nom
Outstanding Music Supervision,2018 Awards,This Is Us,,"Jennifer Pyken, (Music Supervisor)",/title/tt5555260/?ref_=m_ev_nom
Outstanding Music Supervision,2018 Awards,Westworld,,"Sean O'Meara, (Music Supervisor)",/title/tt0475784/?ref_=m_ev_nom
Outstanding Narrator,2018 Awards,Blue Planet II,Winner,David Attenborough,/title/tt6769208/?ref_=m_ev_nom
Outstanding Narrator,2018 Awards,24/7,,Liev Schreiber,/title/tt2667404/?ref_=m_ev_nom
Outstanding Narrator,2018 Awards,"If You're Not in the Obit, Eat Breakfast",,Carl Reiner,/title/tt6963760/?ref_=m_ev_nom
Outstanding Narrator,2018 Awards,March of the Penguins 2: The Next Step,,Morgan Freeman,/title/tt5852632/?ref_=m_ev_nom
Outstanding Narrator,2018 Awards,Savage Kingdom,,Charles Dance,/title/tt6498784/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2018 Awards,Godless,Winner,Carlos Rafael Rivera,/title/tt5516154/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2018 Awards,Somebody Feed Phil,,"Mike 'McDuck' Olson,, ,Bridget Kearney,, ,Michael Calabrese,, ,Rachael Price",/title/tt7752034/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2018 Awards,The Defenders,,John Paesano,/title/tt4230076/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2018 Awards,The Last Tycoon,,Mychael Danna,/title/tt3390892/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2018 Awards,The Putin Interviews,,Jeff Beal,/title/tt6840134/?ref_=m_ev_nom
Outstanding Original Main Title Theme Music,2018 Awards,The Tick,,Chris Bacon,/title/tt5540054/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2018 Awards,Saturday Night Live,Winner,"Chris Redd, (lyrics by),, ,Kenan Thompson, (lyrics by),, ,Will Stephen, (lyrics by),, ,Eli Brueggemann, (music by)",/title/tt0072562/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2018 Awards,A Christmas Story Live!,,"Benj Pasek, (music and lyrics by),, ,Justin Paul, (music and lyrics by)",/title/tt6881890/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2018 Awards,Big Mouth,,"Mark Rivers, (music and lyrics by)",/title/tt6524350/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2018 Awards,"If You're Not in the Obit, Eat Breakfast",,"Alan Bergman, (lyrics by),, ,Marilyn Bergman, (lyrics by),, ,Dave Grusin, (music by)",/title/tt6963760/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2018 Awards,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,,"Steve Martin, (music and lyrics by)",/title/tt8075256/?ref_=m_ev_nom
Outstanding Original Music and Lyrics,2018 Awards,The Good Fight,,"Jonathan Coulton, (music and lyrics by)",/title/tt5853176/?ref_=m_ev_nom
Outstanding Period Costumes,2018 Awards,The Crown,Winner,"Jane Petrie, (costume designer),, ,Emily Newby, (assistant costume designer),, ,Barbara Kuznar, (assistant costume designer),, ,Gabrielle Spanswick, (costume supervisor)",/title/tt4786824/?ref_=m_ev_nom
Outstanding Period Costumes,2018 Awards,Genius,,"Sonu Mishra, (costume designer),, ,Eudald Magri, (assistant costume designer),, ,Balázs Labancz, (costume supervisor)",/title/tt5673782/?ref_=m_ev_nom
Outstanding Period Costumes,2018 Awards,Outlander,,"Terry Dresbach, (costume designer),, ,Nadine Powell, (assistant costume designer),, ,Anna Lau, (costume supervisor)",/title/tt3006802/?ref_=m_ev_nom
Outstanding Period Costumes,2018 Awards,The Alienist: Angel of Darkness,,"Michael Kaplan, (costume designer),, ,Rudy Mance, (assistant costume designer),, ,Bea Merkovits, (assistant costume designer),, ,Andrew Hunt, (costume supervisor)",/title/tt4604612/?ref_=m_ev_nom
Outstanding Period Costumes,2018 Awards,The Marvelous Mrs. Maisel,,"Donna Zakowska, (costume designer),, ,Marina Reti, (assistant costume designer),, ,Virginia D. Patton, (costume supervisor),, ,Sheila Grover, (costume supervisor)",/title/tt5788792/?ref_=m_ev_nom
Outstanding Picture Editing for Nonfiction Programming,2018 Awards,Anthony Bourdain: Parts Unknown,Winner,Hunter Gross,/title/tt2845786/?ref_=m_ev_nom
Outstanding Picture Editing for Nonfiction Programming,2018 Awards,Jane,,"Joe Beshenkovsky,, ,Brett Morgen,, ,Will Znidaric",/title/tt7207238/?ref_=m_ev_nom
Outstanding Picture Editing for Nonfiction Programming,2018 Awards,The Defiant Ones,,"Lasse Järvi,, ,Doug Pray",/title/tt6958022/?ref_=m_ev_nom
Outstanding Picture Editing for Nonfiction Programming,2018 Awards,The Zen Diaries of Garry Shandling,,Joe Beshenkovsky,/title/tt7860890/?ref_=m_ev_nom
Outstanding Picture Editing for Nonfiction Programming,2018 Awards,Wild Wild Country,,Neil Meiklejohn,/title/tt7768848/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2018 Awards,Last Week Tonight with John Oliver,Winner,"Ryan Barger, (editor)",/title/tt3530232/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2018 Awards,Dave Chappelle: Equanimity,,"Jeff U'ren, (Editor)",/title/tt7806998/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2018 Awards,Drunk History,,John Cason,/title/tt2712612/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2018 Awards,Full Frontal with Samantha Bee,,"Jesse Coane,, ,Charles Divak,, ,Daphne Gomez-Mena,, ,Andrew Mendelson,, ,Tennille Uithof",/title/tt5323988/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2018 Awards,Last Week Tonight with John Oliver,,"Anthony Miale, (Editor)",/title/tt3530232/?ref_=m_ev_nom
Outstanding Picture Editing for Variety Programming,2018 Awards,The Late Late Show Carpool Karaoke Primetime Special,,"Brad Conlin, (Editor),, ,Tom Jarvis, (Editor)",/title/tt9576798/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured or Competition Reality Program,2018 Awards,Queer Eye,Winner,"Thomas Reuther, (supervising editor),, ,Joe DeShano, (editor),, ,A.M. Peters, (editor),, ,Ryan Taylor, (editor),, ,Matt Miller, (editor),, ,Brian Ray, (editor)",/title/tt7259746/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured or Competition Reality Program,2018 Awards,American Ninja Warrior,,"Nick Gagnon,, ,David Greene,, ,Katherine Griffin,, ,Michael Kalbron,, ,Curtis Pierce,, ,Kyle Barr,, ,Mary DeChambres,, ,Matthew Probst,, ,Scott Simmons,, ,Martin Singer,, ,Flavyn Mendoza,, ,Corey Ziemniak",/title/tt1587934/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured or Competition Reality Program,2018 Awards,RuPaul's Drag Race,,"Jamie Martin, (lead editor),, ,Drew Forni, (editor),, ,John Lim, (editor),, ,Michael Roha, (editor)",/title/tt1353056/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured or Competition Reality Program,2018 Awards,The Amazing Race,,"Brooks Larson, (editor),, ,Jay Gammill, (editor),, ,Josh Lowry, (editor),, ,Mike Bolanowski, (editor),, ,Tori Rodman, (editor),, ,Jason Pedroza, (editor),, ,Eric Beetner, (editor),, ,Tricia Rodrigo, (editor)",/title/tt0285335/?ref_=m_ev_nom
Outstanding Picture Editing for a Structured or Competition Reality Program,2018 Awards,The Voice,,"John M. Larson, (supervising editor),, ,Robert M. Malachowski Jr., (supervising editor),, ,Hudson Smith, (supervising editor),, ,Matt Antell, (editor),, ,Roger Bartlett, (editor),, ,Sean Basaman, (editor),, ,Kevin Benson, (editor),, ,Matthew Thomas Blair, (editor),, ,Melissa Silva Borden, (editor),, ,William Castro, (editor),, ,Grady Cooper, (editor),, ,A.J. Dickerson, (editor),, ,Glen Ebesu, (editor),, ,Noel A. Guerra, (editor),, ,John Homesley, (editor),, ,Omega Hsu, (editor),, ,Ryan P. James, (editor),, ,Charles Kramer, (editor),, ,James J. Munoz, (editor),, ,Rich Remis, (editor),, ,David Sowell, (editor),, ,Robby Thompson, (editor),, ,Eric Wise, (editor)",/title/tt1839337/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2018 Awards,United Shades of America,Winner,Bryan Eber,/title/tt4515676/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2018 Awards,Born This Way,,"Jarrod Burt,, ,Jacob Lane,, ,Mac Caudill,, ,Madison Pathe,, ,John Barley,, ,Daysha Broadway,, ,Stephanie Lyra,, ,Svein Mikkelsen,, ,Ryan Rambach,, ,Peggy Tachdjian,, ,Dan Zimmerman",/title/tt5219042/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2018 Awards,Deadliest Catch,,"Rob Butler, (supervising editor),, ,Alexandra Moore,, ,Ben Bulatao,, ,Josh Earl,, ,Greg Cornejo",/title/tt0446809/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2018 Awards,Life Below Zero,,"Eric Michael Schrader,, ,Tony Diaz,, ,Matt Mercer,, ,Jennifer Nelson",/title/tt2964642/?ref_=m_ev_nom
Outstanding Picture Editing for an Unstructured Reality Program,2018 Awards,RuPaul's Drag Race: Untucked!,,Lousine Shamamian,/title/tt1588754/?ref_=m_ev_nom
"Outstanding Production Design for Variety, Nonfiction, Reality or Reality-Competition Series",2018 Awards,Saturday Night Live,Winner,"Eugene Lee, (production designer),, ,Akira Yoshimura, (production designer),, ,Keith Raywood, (production designer),, ,Joe DeTullio, (production designer)",/title/tt0072562/?ref_=m_ev_nom
"Outstanding Production Design for Variety, Nonfiction, Reality or Reality-Competition Series",2018 Awards,Bill Nye Saves the World,,"James Connelly, (production designer),, ,James Nelson, (art director),, ,John Calderon, (art director),, ,Heather Cantrell, (set decorator)",/title/tt6021260/?ref_=m_ev_nom
"Outstanding Production Design for Variety, Nonfiction, Reality or Reality-Competition Series",2018 Awards,Dancing with the Stars,,"James Yarnell, (production designer),, ,Steve Morden, (art director),, ,John Sparano, (set decorator)",/title/tt0463398/?ref_=m_ev_nom
"Outstanding Production Design for Variety, Nonfiction, Reality or Reality-Competition Series",2018 Awards,Last Week Tonight with John Oliver,,"Eric Morrell, (production designer)",/title/tt3530232/?ref_=m_ev_nom
"Outstanding Production Design for Variety, Nonfiction, Reality or Reality-Competition Series",2018 Awards,The Voice,,"Anton Goss, (production designer),, ,James Connelly, (production designer),, ,Lydia Smyth, (art director),, ,Zeya Maurer, (art director),, ,Stephanie Hines, (set decorator)",/title/tt1839337/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2018 Awards,The Handmaid's Tale,Winner,"Mark White, (production designer),, ,Elisabeth Williams, (production designer),, ,Martha Sparrow, (art director),, ,Caroline Gee, (set decorator)",/title/tt5834204/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2018 Awards,American Horror Story,,"Jeffrey Mossa, (Production Designer),, ,Rachel Robb Kondrath, (Art Director),, ,Claire Kaufman, (Set Decorator)",/title/tt1844624/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2018 Awards,Ozark,,"Chuck Potter, (set decorator),, ,John Richardson, (art director),, ,Derek R. Hill, (production designer)",/title/tt5071412/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2018 Awards,The Handmaid's Tale,,"Elisabeth Williams, (Production Designer),, ,Martha Sparrow, (Art Director),, ,Rob Hepburn, (Set Decorator)",/title/tt5834204/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2018 Awards,Twin Peaks,,"Florencia Martin, (set decorator),, ,Ruth De Jong, (production designer),, ,Cara Brower, (art director)",/title/tt4093826/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2018 Awards,Game of Thrones,Winner,"Deborah Riley, (production designer),, ,Paul Ghirardani, (art director),, ,Rob Cameron, (set decorator)",/title/tt0944947/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2018 Awards,The Alienist: Angel of Darkness,,"Mara LePere-Schloop, (Production Designer),, ,Bill Crutcher, (Art Director),, ,Karl Probert, (Art Director),, ,Alice Baker, (Set Decorator),, ,Philip Murphy, (Set Decorator)",/title/tt4604612/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2018 Awards,The Crown,,"Martin Childs, (Production Designer),, ,Mark Raggett, (Art Director),, ,Alison Harvey, (Set Decorator)",/title/tt4786824/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2018 Awards,The Marvelous Mrs. Maisel,,"Bill Groom, (Production Designer),, ,Neil Prince, (Art Director),, ,Ellen Christiansen, (Set Decorator)",/title/tt5788792/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2018 Awards,Westworld,,"Howard Cummings, (production designer),, ,David Lazan, (art director),, ,Julie Ochipinti, (set decorator)",/title/tt0475784/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour or Less),2018 Awards,GLOW,Winner,"Todd Fjelsted, (production designer),, ,Harry E. Otto, (art director),, ,Ryan Watson, (set decorator)",/title/tt5770786/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour or Less),2018 Awards,Atlanta,,"Timothy David O'Brien, (production designer),, ,Taylor Mosbey, (art director),, ,Aimee Athnos, (set decorator)",/title/tt4288182/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour or Less),2018 Awards,Barry,,"Tyler B. Robinson, (production designer),, ,Eric Schoonover, (art director),, ,Amber Haley, (set decorator)",/title/tt5348176/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour or Less),2018 Awards,Grace and Frankie,,"Devorah Herbert, (Production Designer),, ,Amy Lee Wheeler, (Art Director),, ,Andrea Mae Fenton, (Set Decorator)",/title/tt3609352/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour or Less),2018 Awards,Silicon Valley,,"Richard Toyon, (Production Designer),, ,Jaclyn Hauser, (Art Director),, ,Brandi Kalish, (Set Decorator)",/title/tt2575988/?ref_=m_ev_nom
Outstanding Production Design for a Narrative Program (Half-Hour or Less),2018 Awards,Will & Grace,,"Glenda Rovello, (Production Designer),, ,Conny Boettger-Marinos, (Art Director),, ,Peter M. Gurski, (Set Decorator)",/title/tt0157246/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2018 Awards,Jesus Christ Superstar Live in Concert,Winner,"Jason Ardizzone-West, (production designer),, ,Melissa Shakun, (art director)",/title/tt6874964/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2018 Awards,75th Golden Globe Awards,,"Brian J. Stonestreet,, ,John Zuiker",/title/tt6635044/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2018 Awards,The 60th Annual Grammy Awards,,"Brian J. Stonestreet,, ,Kristen Merlino,, ,Gloria Lamb",/title/tt7934862/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2018 Awards,The Carol Burnett 50th Anniversary Special,,"Joe Stewart,, ,Joey Sarno",/title/tt7709350/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2018 Awards,The Oscars,,"Derek McLane,, ,Alana Billingsley,, ,Kristen Merlino",/title/tt7235270/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2018 Awards,Game of Thrones,Winner,"Jane Walker, (department head makeup artist),, ,Paul Spateri, (special makeup effects artist),, ,Emma Faulkes, (special makeup effects artist),, ,Barrie Gower, (prosthetic designer)",/title/tt0944947/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2018 Awards,American Crime Story,,"Eryn Krueger Mekash, (department head makeup artist),, ,Michael Mekash, (special makeup effects assistant department head),, ,Silvina Knight, (makeup effects artist),, ,Robin Beauchesne, (makeup effects artist),, ,David LeRoy Anderson, (prosthetic designer),, ,Glen Eisner, (prosthetic designer)",/title/tt2788432/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2018 Awards,American Horror Story,,"Eryn Krueger Mekash, (department head makeup artist),, ,Michael Mekash, (special makeup effects assistant department head),, ,Kim Ayers, (makeup effects artist),, ,Silvina Knight, (makeup effects artist),, ,Christopher Allen Nelson, (additional makeup artist),, ,Carleigh Herbert, (additional makeup artist),, ,Glen Eisner, (prosthetic designer),, ,David LeRoy Anderson, (prosthetic designer)",/title/tt1844624/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2018 Awards,Star Trek: Discovery,,"Glenn Hetrick, (special makeup effects department head),, ,James MacKinnon, (special makeup effects department head),, ,Hugo Villasenor, (special makeup effects artist),, ,Rocky Faulkner, (special makeup effects artist),, ,Chris Bridges, (additional makeup effects artist),, ,Shane Zander, (additional makeup effects artist),, ,Neville Page, (prosthetic designer),, ,Michael O'Brien, (prosthetic designer)",/title/tt5171438/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2018 Awards,Westworld,,"Justin Raleigh, (department head makeup artist),, ,Kevin Kirkpatrick, (co-department head makeup artist),, ,Thomas Floutz, (makeup effects artist),, ,Chris Hampton, (makeup effects artist),, ,Bryan Blair, (special makeup effects artist),, ,Michael Ezell, (prosthetic designer),, ,Steve Koch, (prosthetic designer)",/title/tt0475784/?ref_=m_ev_nom
Outstanding Reality-Competition Program,2018 Awards,RuPaul's Drag Race,Winner,"Bruce McCoy, (co-executive producer),, ,Michele Mills, (co-executive producer),, ,Jacqueline Wilson, (co-executive producer),, ,Pamela Post, (executive producer),, ,Tim Palazzola, (executive producer),, ,Fenton Bailey, (executive producer),, ,Randy Barbato, (executive producer),, ,Tom Campbell, (executive producer),, ,Mandy Salangsang, (executive producer),, ,Steven Corfe, (executive producer),, ,RuPaul, (executive producer),, ,Thairin Smothers, (senior producer),, ,Lisa Steele, (supervising producer)",/title/tt1353056/?ref_=m_ev_nom
Outstanding Reality-Competition Program,2018 Awards,American Ninja Warrior,,"Arthur Smith, (executive producer),, ,Kent Weed, (executive producer),, ,Anthony Storm, (executive producer),, ,Brian Richardson, (executive producer),, ,Kristen Stabile, (co-executive producer),, ,David Markus, (co-executive producer),, ,J.D. Pruess, (supervising producer),, ,Briana Vowels, (supervising producer),, ,D. Max Poris, (supervising producer),, ,Jonathan Provost, (supervising producer),, ,Royce Toni, (supervising producer),, ,Jeffrey J. Hyman, (supervising producer),, ,Stephen Saylor, (supervising producer)",/title/tt1587934/?ref_=m_ev_nom
Outstanding Reality-Competition Program,2018 Awards,Project Runway,,"Jonathan Murray, (executive producer),, ,Sara Rea, (executive producer),, ,Heidi Klum, (executive producer),, ,Jane Cha Cutler, (executive producer),, ,Desiree Gruber, (executive producer),, ,David Hillman, (executive producer),, ,Patrick Reardon, (executive producer),, ,Barbara Schneeweiss, (executive producer),, ,Gil Goldschein, (co-executive producer),, ,Teri Weideman, (co-executive producer),, ,Cosmo DeCeglie, (supervising producer),, ,Sue Kinkead, (supervising producer),, ,Glenn Morgan, (supervising producer),, ,Blue, (supervising producer),, ,Tyler O'Neil, (supervising producer),, ,Tim Gunn, (producer),, ,Courtney Doyle, (producer)",/title/tt0437741/?ref_=m_ev_nom
Outstanding Reality-Competition Program,2018 Awards,The Amazing Race,,"Jerry Bruckheimer, (executive producer),, ,Bertram van Munster, (executive producer),, ,Jonathan Littman, (executive producer),, ,Elise Doganieri, (executive producer),, ,Mark A. Vertullo, (executive producer),, ,Phil Keoghan, (co-executive producer),, ,Patrick Cariaga, (co-executive producer),, ,Matthew R. Schmidt, (co-executive producer),, ,Darren Bunkley, (co-executive producer),, ,Mike Dimaggio, (supervising producer),, ,Neil Jahss, (supervising producer),, ,Jesse McDonald, (senior producer),, ,Sarah Stallard, (senior producer),, ,Jack Walworth, (senior producer)",/title/tt0285335/?ref_=m_ev_nom
Outstanding Reality-Competition Program,2018 Awards,The Voice,,"John de Mol, (executive producer),, ,Mark Burnett, (executive producer),, ,Audrey Morrissey, (executive producer),, ,Stijn Bakkers, (executive producer),, ,Chad Hines, (executive producer),, ,Amanda Zucker, (executive producer),, ,Kyra Thompson, (executive producer),, ,Lee Metzger, (executive producer),, ,Teddy Valenti, (co-executive producer),, ,Anthea Bhargava, (supervising producer),, ,Clyde Lieberman, (supervising producer),, ,Keith Dinielli, (supervising producer),, ,Kyley Tucker, (supervising producer),, ,May Johnson, (supervising producer),, ,Brittany Martin Porter, (senior producer),, ,Barton Kimball, (senior producer),, ,Ashley Sylvester, (senior producer),, ,Carson Daly, (producer),, ,Dan Paschen, (producer),, ,Amanda Silva Borden, (producer),, ,Tod Schellinger, (producer),, ,Jared Wyso, (producer)",/title/tt1839337/?ref_=m_ev_nom
Outstanding Reality-Competition Program,2018 Awards,Top Chef,,"Dan Cutforth, (executive producer),, ,Jane Lipsitz, (executive producer),, ,Doneen Arquines, (executive producer),, ,Casey Kriley, (executive producer),, ,Tara Siener, (executive producer),, ,Tom Colicchio, (executive producer),, ,Padma Lakshmi, (executive producer),, ,Justin Rae Barnes, (co-executive producer),, ,Blake Davis, (co-executive producer),, ,Patrick Schmedeman, (co-executive producer),, ,Wade Sheeler, (co-executive producer),, ,Ellie Carbajal, (supervising producer),, ,Zoe Jackson, (supervising producer),, ,Brian M. Fowler, (senior producer),, ,Steve Lichtenstein, (senior producer),, ,Diana Schmedeman, (producer)",/title/tt0765425/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2018 Awards,James Corden's Next James Corden,Winner,"Ben Winston, (executive producer),, ,Rob Crabbe, (executive producer),, ,James Corden, (executive producer),, ,Adam Abramson, (executive producer),, ,Ryan McKee, (executive producer),, ,David LaMattina, (producer)",/title/tt8134442/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2018 Awards,An Emmy for Megan,,"Megan Amram, (executive producer),, ,Dave Kneebone, (executive producer),, ,Janel Kranking, (executive producer),, ,Joseph Carnegie, (producer)",/title/tt8341974/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2018 Awards,Grey's Anatomy: B-Team,,"Abby Chambers, (executive producer),, ,Val Cheung, (producer),, ,Saad Mansoor, (produced by)",/title/tt7849864/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2018 Awards,The Walking Dead: Red Machete,,"Alex Coley Brown, (executive producer),, ,Noam Dromi, (executive producer),, ,Jay Williams, (executive producer),, ,Nick Bernardone, (producer),, ,Avi Youabian, (producer),, ,Rob Newman, (produced by)",/title/tt7517016/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2018 Awards,aka Wyatt Cenac,,"Wyatt Cenac, (executive producer),, ,Chris Marsh, (producer),, ,Darren Goldberg, (producer)",/title/tt8688320/?ref_=m_ev_nom
