award_title,years,finalist,winner,groups,url
Outstanding Period Costumes,2020 Awards,Pose,,"Analucia McGorty, (costume designer),, ,Nicky Smith, (assistant costume designer),, ,Alexa De Fazio, (assistant costume designer),, ,Linda Giammarese, (costume supervisor)",
Outstanding Period Costumes,2020 Awards,The Marvelous Mrs. Maisel,,"Donna Zakowska, (costume designer),, ,Marina Reti, (assistant costume designer),, ,Sheila Grover, (costume supervisor),, ,Virginia D. Patton, (costume supervisor)",
Outstanding Period and/or Character Hairstyling,2020 Awards,Hollywood,Winner,"Michelle Ceglia, (department head hairstylist),, ,Barry Lee Moe, (assistant department head hairstylist),, ,George Guzman, (hairstylist),, ,Michele L. Arvizo, (hairstylist),, ,Maria Elena Pantoja, (hairstylist)",
Outstanding Period and/or Character Hairstyling,2020 Awards,Pose,,"Barry Lee Moe, (department head hairstylist),, ,Tim Harvey, (key hairstylist),, ,Sabana Majeed, (hairstylist),, ,Liliana Meyrick, (hairstylist),, ,Lisa Forst, (hairstylist),, ,Gregory Bazemore, (hairstylist),, ,Jessica Mojica, (hairstylist),, ,Charlene Belmond, (hairstylist)",
Outstanding Period and/or Character Hairstyling,2020 Awards,Star Trek: Picard,,"Maxine Morris, (department head hairstylist),, ,Maria Sandoval, (assistant department head hairstylist),, ,Wendy Southard, (key hairstylist),, ,Sallie Ciganovich, (additional hairstylist),, ,Ashleigh Childers, (hairstylist),, ,Yesim 'Shimmy' Osman, (hairstylist)",
Outstanding Period and/or Character Hairstyling,2020 Awards,The Crown,,"Cate Hall, (department head hairstylist),, ,Louise Coles, (assistant department head hairstylist),, ,Sarah Nuth, (hairstylist),, ,Suzanne David, (hairstylist),, ,Emilie Yong, (assistant department head hairstylist),, ,Catriona Johnstone, (hairstylist)",
Outstanding Period and/or Character Hairstyling,2020 Awards,The Marvelous Mrs. Maisel,,"Kimberley Spiteri, (department head hairstylist),, ,Michael Ward, (key hairstylist),, ,Tijen Osman, (additional hairstylist)",
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,The Marvelous Mrs. Maisel,Winner,"Patricia Regan, (department head makeup artist),, ,Claus Lulla, (key makeup artist),, ,Joseph A. Campayno, (key makeup artist),, ,Margot Boccia, (makeup artist),, ,Michael Laudati, (makeup artist),, ,Tomasina Smith, (makeup artist),, ,Roberto Baez, (makeup artist),, ,Alberto Machuca, (makeup artist)",
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,American Horror Story,,"Carleigh Herbert, (department head makeup artist),, ,Abby Lyle, (assistant department head makeup artist),, ,Mo Meinhart, (makeup artist),, ,Lawrence Mercado, (makeup artist)",
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,Hollywood,,"Eryn Krueger Mekash, (department head makeup artist),, ,Kim Ayers, (assistant department head makeup artist),, ,Kerrin Jackson, (makeup artist),, ,Ana Gabriela Quinonez, (makeup artist)",
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,Pose,,"Sherri Berman Laurence, (department head makeup artist),, ,Nicky Pattison Illum, (key makeup artist),, ,Chris Milone, (makeup artist),, ,Deja Marie Smith, (makeup artist),, ,Jessica Padilla, (makeup artist)",
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,Star Trek: Picard,,"Silvina Knight, (assistant department head makeup artist),, ,Robin Beauchesne, (key makeup artist),, ,David Williams, (makeup artist),, ,Peter De Oliveira, (makeup artist),, ,Natalie Thimm, (makeup artist)",
Outstanding Picture Editing for Variety Programming,2020 Awards,Last Week Tonight with John Oliver,Winner,"Ryan Barger, (editor)",
Outstanding Picture Editing for Variety Programming,2020 Awards,Dave Chappelle: Sticks & Stones,,"Jeff U'ren, (editor)",
Outstanding Picture Editing for Variety Programming,2020 Awards,Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,,"Brad Gilson, (editor),, ,Chester Contaoi, (editor),, ,Jon Alloway, (editor),, ,Pi Ware, (package editor),, ,Brian Forbes, (package editor)",
Outstanding Picture Editing for Variety Programming,2020 Awards,Last Week Tonight with John Oliver,,"Anthony Miale, (editor)",
Outstanding Picture Editing for Variety Programming,2020 Awards,The Daily Show,,"Mike Choi, (editor),, ,Thomas Favilla, (editor),, ,Nikolai Johnson, (editor),, ,Mark Paone, (editor),, ,Erin Shannon, (editor),, ,Catherine Trasborg, (editor),, ,Einar Westerlund, (editor),, ,Robert York, (editor)",
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,Apollo 11,Winner,Todd Douglas Miller,
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,American Factory,,Lindsay Utz,
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,Beastie Boys Story,,"Jeff Buchanan, (editor),, ,Zoe Schack, (editor)",
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,McMillions,,"Jody McVeigh-Schultz,, ,Lane Farnham,, ,James Lee Hernandez,, ,Brian Lazarte,, ,Scott D. Hanson",
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,The Last Dance,,"Chad Beck,, ,Devin Concannon,, ,Abhay Sofsky,, ,Ben Sozanski",
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,Tiger King,,"Doug Abel,, ,Nicholas Biagetti,, ,Dylan Hansen-Fliedner,, ,Geoffrey Richman,, ,Daniel Koehler",
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,RuPaul's Drag Race,Winner,"Jamie Martin, (lead editor),, ,Michael Roha, (editor),, ,Paul Cross, (editor),, ,Michael Lynn Deis, (editor),, ,Ryan Mallick, (editor)",
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Lego Masters,,"Samantha Diamond, (editor),, ,Dan Hancox, (editor),, ,Karl Kimbrough, (editor),, ,Ian Kaufman, (editor),, ,Kevin Benson, (editor),, ,Josh Young, (editor),, ,Jon Bilicki, (editor)",
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Queer Eye,,"Ryan Taylor, (lead editor),, ,Tony Zajkowski, (editor)",
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Survivor,,"Michael Greer, (supervising editor),, ,Chad Bertalotto, (editor),, ,Evan Mediuch, (editor),, ,James Ciccarello, (editor),, ,Jacob Teixeira, (editor)",
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Top Chef,,"Matt Reynolds, (editor),, ,David Chalfin, (editor),, ,Michael Abitz, (additional editor),, ,Eric Lambert, (additional editor),, ,Jose Manuel Rodriguez Bermejo, (additional editor),, ,Dan Williams, (additional editor)",
Outstanding Picture Editing for an Unstructured Reality Program,2020 Awards,Cheer,Winner,"Arielle Kilker, (supervising editor),, ,David Nordstrom, (supervising editor),, ,Kate Hackett, (editor),, ,Daniel McDonald, (editor),, ,Mark Morgan, (editor),, ,Sharon Weaver, (editor),, ,Ted Woerner, (editor)",
Outstanding Picture Editing for an Unstructured Reality Program,2020 Awards,Deadliest Catch,,"Rob Butler, (supervising editor),, ,Isaiah Camp, (supervising editor),, ,Ben Bulatao, (editor),, ,Joe Mikan, (editor),, ,Ralf Melville, (editor),, ,Alexandra Moore, (editor)",
Outstanding Picture Editing for an Unstructured Reality Program,2020 Awards,Life Below Zero,,"Matt Edwards, (editor),, ,Jennifer Nelson, (editor),, ,Tony Diaz, (additional editor),, ,Matt Mercer, (additional editor),, ,Eric Michael Schrader, (additional editor),, ,Michael Swingler, (additional editor)",
Outstanding Picture Editing for an Unstructured Reality Program,2020 Awards,RuPaul's Drag Race: Untucked!,,"Kendra Pasker, (lead editor),, ,Yali Sharon, (editor)",
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2020 Awards,The Handmaid's Tale,Winner,"Elisabeth Williams, (production designer),, ,Martha Sparrow, (art director),, ,Rob Hepburn, (set decorator)",
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2020 Awards,Big Little Lies,,"John Paino, (production designer),, ,Austin Gorg, (art director),, ,Amy Wells, (set decorator)",
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2020 Awards,Killing Eve,,"Laurence Dorman, (production designer),, ,Beckie Harvey, (art director),, ,Casey Williams, (set decorator)",
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2020 Awards,Ozark,,"David J. Bomba, (production designer),, ,Sean Ryan Jennings, (art director),, ,Kim Leoleis, (set decorator)",
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2020 Awards,Succession,,"Stephen H. Carter, (production designer),, ,Carmen Cárdenas, (art director),, ,George DeTitta Jr., (set decorator),, ,Ana Buljan, (set decorator)",
Outstanding Production Design for a Narrative Contemporary Program (One Hour or More),2020 Awards,The Morning Show,,"John Paino, (production designer),, ,James F. Truesdale, (art director),, ,Amy Wells, (set decorator)",
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2020 Awards,The Crown,Winner,"Martin Childs, (production designer),, ,Mark Raggett, (art director),, ,Alison Harvey, (set decorator)",
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2020 Awards,Hollywood,,"Matthew Flood Ferguson, (production designer),, ,Mark Robert Taylor, (art director),, ,Melissa Licht, (set decorator)",
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2020 Awards,The Marvelous Mrs. Maisel,,"Bill Groom, (production designer),, ,Neil Prince, (art director),, ,Ellen Christiansen, (set decorator)",
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2020 Awards,Watchmen,,"Kristian Milsted, (production designer),, ,Jay Pelissier, (art director),, ,Edward McLoughlin, (set decorator)",
Outstanding Production Design for a Narrative Period or Fantasy Program (One Hour or More),2020 Awards,Westworld,,"Howard Cummings, (production designer),, ,Jonathan Carlos, (art director),, ,Julie Ochipinti, (set decorator)",
Outstanding Production Design for a Narrative Program (Half-Hour),2020 Awards,The Mandalorian,Winner,"Andrew L. Jones, (production designer),, ,Jeff Wisniewski, (art director),, ,Amanda Moss Serino, (set decorator)",
Outstanding Production Design for a Narrative Program (Half-Hour),2020 Awards,GLOW,,"Todd Fjelsted, (production designer),, ,Valerie Green, (art director),, ,Cynthia Anne Slagter, (set decorator)",
Outstanding Production Design for a Narrative Program (Half-Hour),2020 Awards,Space Force,,"Susie Mancini, (production designer),, ,Gary Warshaw, (art director),, ,Rachael Ferrara, (set decorator)",
Outstanding Production Design for a Narrative Program (Half-Hour),2020 Awards,What We Do in the Shadows,,"Kate Bunch, (production designer),, ,Aleks Cameron, (art director),, ,Shayne Fox, (set decorator)",
Outstanding Production Design for a Narrative Program (Half-Hour),2020 Awards,Will & Grace,,"Glenda Rovello, (production designer),, ,Conny Boettger-Marinos, (art director),, ,Peter M. Gurski, (set decorator)",
Outstanding Production Design for a Variety Special,2020 Awards,The Oscars,Winner,"Jason Sherwood, (production designer),, ,Alana Billingsley, (art director)",
